Input,Output
php,پی ایچ پی
Explain the difference between procedural and object-oriented programming in PHP and provide an example of each.,پی ایچ پی میں طریقہ کار اور آبجیکٹ پر مبنی پروگرامنگ کے مابین فرق کی وضاحت کریں اور ہر ایک کی مثال پیش کریں۔
"""Implement a PHP class representing a stack and provide methods for push, pop, and peek operations.""","""کسی اسٹیک کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور پش ، پاپ اور جھانکنے والے کاموں کے لئے طریقے فراہم کریں۔"""
Describe the concept of autoloading in PHP and explain its advantages in large-scale projects.,پی ایچ پی میں آٹولوڈنگ کے تصور کی وضاحت کریں اور بڑے پیمانے پر منصوبوں میں اس کے فوائد کی وضاحت کریں۔
"""Implement a PHP class representing a linked list and provide methods for insertion, deletion, and traversal.""","""پی ایچ پی کی کلاس کو نافذ کریں جو کسی منسلک فہرست کی نمائندگی کرتے ہیں اور اندراج ، حذف کرنے اور ٹراورسل کے طریقے فراہم کرتے ہیں۔"""
Explain the concept of namespaces in PHP and how they help in organizing code and preventing naming conflicts.,پی ایچ پی میں نام کی جگہوں کے تصور کی وضاحت کریں اور وہ کوڈ کو منظم کرنے اور نام لینے کے تنازعات کو روکنے میں کس طرح مدد کرتے ہیں۔
"""Implement a PHP class representing a binary search tree and provide methods for insertion, deletion, and searching.""","""بائنری سرچ ٹری کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور اندراج ، حذف کرنے اور تلاش کرنے کے طریقے فراہم کریں۔"""
Discuss the difference between static and dynamic typing in PHP and provide examples of each.,پی ایچ پی میں جامد اور متحرک ٹائپنگ کے درمیان فرق پر تبادلہ خیال کریں اور ہر ایک کی مثالیں فراہم کریں۔
Implement a PHP class representing a queue and provide methods for enqueue and dequeue operations.,کسی قطار کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور انکیو اور ڈی کیوئو آپریشنز کے لئے طریقے فراہم کریں۔
Describe the concept of exception handling in PHP and explain how to catch and handle different types of exceptions.,پی ایچ پی میں استثنیٰ سے نمٹنے کے تصور کی وضاحت کریں اور یہ بتائیں کہ مختلف قسم کے مستثنیات کو کس طرح پکڑنے اور ان سے نمٹنے کا طریقہ ہے۔
"""Implement a PHP class representing a hash table and provide methods for insertion, deletion, and retrieval.""","""ایک ہیش ٹیبل کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور اندراج ، حذف کرنے اور بازیافت کے طریقے فراہم کریں۔"""
Explain the concept of anonymous functions (closures) in PHP and provide an example of their usage.,پی ایچ پی میں گمنام افعال (بندش) کے تصور کی وضاحت کریں اور ان کے استعمال کی ایک مثال پیش کریں۔
"""Implement a PHP class representing a graph and provide methods for traversal, finding the shortest path, and detecting cycles.""","""کسی گراف کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور ٹراورسل کے لئے طریقے مہیا کریں ، مختصر ترین راستہ تلاش کریں ، اور چکروں کا پتہ لگائیں۔"""
Discuss the principles of database connectivity in PHP and explain how to establish a connection and execute SQL queries.,پی ایچ پی میں ڈیٹا بیس رابطے کے اصولوں پر تبادلہ خیال کریں اور یہ بتائیں کہ کنکشن قائم کرنے اور ایس کیو ایل کے سوالات پر عملدرآمد کرنے کا طریقہ ہے۔
"""Implement a PHP class representing a heap (min-heap or max-heap) and provide methods for insertion, deletion, and retrieval of the minimum or maximum element.""","""پی ایچ پی کلاس کو نافذ کریں جس میں ڈھیر (کم سے کم یا زیادہ سے زیادہ ہیپ) کی نمائندگی کی جائے اور کم سے کم یا زیادہ سے زیادہ عنصر کو اندراج ، حذف کرنے اور بازیافت کے طریقے فراہم کریں۔"""
Explain the concept of sessions and cookies in PHP and how they can be used to maintain state across multiple requests.,پی ایچ پی میں سیشن اور کوکیز کے تصور کی وضاحت کریں اور یہ کہ ان کو متعدد درخواستوں میں ریاست کو برقرار رکھنے کے لئے کس طرح استعمال کیا جاسکتا ہے۔
"""Implement a PHP class representing a trie (prefix tree) and provide methods for insertion, deletion, and searching for words.""","""پی ایچ پی کلاس کو نافذ کریں جو ٹری (سابقہ درخت) کی نمائندگی کرتے ہیں اور اندراج ، حذف کرنے ، اور الفاظ کی تلاش کے طریقے فراہم کرتے ہیں۔"""
Discuss the concept of dependency management in PHP and explain how tools like Composer are used for managing packages and libraries.,پی ایچ پی میں انحصار کے انتظام کے تصور پر تبادلہ خیال کریں اور یہ بتائیں کہ پیکجوں اور لائبریریوں کے انتظام کے لئے کمپوزر جیسے ٹولز کو کس طرح استعمال کیا جاتا ہے۔
"""Implement a PHP class representing a circular buffer (ring buffer) and provide methods for enqueue, dequeue, and checking if the buffer is full or empty.""","""سرکلر بفر (رنگ بفر) کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور انکیو ، ڈی کیوئو ، اور جانچ پڑتال کے لئے طریقے فراہم کریں کہ آیا بفر مکمل یا خالی ہے یا نہیں۔"""
Explain the concept of object serialization and deserialization in PHP and provide examples of how to serialize objects to JSON or store them in a database.,پی ایچ پی میں آبجیکٹ سیریلائزیشن اور ڈیسیریلائزیشن کے تصور کی وضاحت کریں اور JSON کو اشیاء کو سیریلائز کرنے یا انہیں ڈیٹا بیس میں ذخیرہ کرنے کی مثالیں فراہم کریں۔
Implement a PHP class representing a file upload handler and provide methods for validating and processing uploaded files.,کسی فائل کو اپ لوڈ کرنے والے ہینڈلر کی نمائندگی کرنے والی پی ایچ پی کلاس کو نافذ کریں اور اپ لوڈ فائلوں کی توثیق اور پروسیسنگ کے طریقے فراہم کریں۔
Describe the concept of PHP traits and how they can be used to provide reusable code across multiple classes.,پی ایچ پی کی خصوصیات کے تصور کی وضاحت کریں اور ان کو متعدد کلاسوں میں دوبارہ قابل استعمال کوڈ فراہم کرنے کے لئے کس طرح استعمال کیا جاسکتا ہے۔
"""Implement a PHP class representing a priority queue and provide methods for insertion, deletion, and retrieval of the highest priority element.""","""ترجیحی قطار کی نمائندگی کرنے والے پی ایچ پی کلاس کو نافذ کریں اور اعلی ترجیحی عنصر کی اندراج ، حذف کرنے اور بازیافت کے طریقے فراہم کریں۔"""
